URL,Text_1,Text_2,Text_3
www.gapers.it/ortoredirect/0147/,SALICE FRAGILE,Salix fragilis L.,Fam. Salicaceae
www.gapers.it/ortoredirect/0148/,SALICE NERO,Salix nigra Marshall,Fam. Salicaceae
www.gapers.it/ortoredirect/0149/,SALVIA,Salvia officinalis L.,Fam. Lamiaceae
www.gapers.it/ortoredirect/0150/,SAMBUCO NERO,Sambucus nigra L.,Fam. Adoxaceae
www.gapers.it/ortoredirect/0151/,SAMBUCO ROSSO,Sambucus racemosa L.,Fam. Adoxaceae
www.gapers.it/ortoredirect/0152/,SEQUOIA GIGANTE,Sequoiadendron giganteum (Lindl.) J.Buchholz,Fam. Cupressaceae
www.gapers.it/ortoredirect/0153/,SORBO MONTANO,Sorbus aria (L.) Crantz,Fam. Rosaceae
www.gapers.it/ortoredirect/0154/,SORBO DEGLI UCCELLATORI,Sorbus aucuparia L.,Fam. Rosaceae
www.gapers.it/ortoredirect/0155/,SORBO CIAVARDELLO,Torminalis glaberrima (Gand.) Sennikov & Kurtto,Fam. Rosaceae
www.gapers.it/ortoredirect/0156/,GINESTRA ODOROSA,Spartium junceum L.,Fam. Fabaceae
www.gapers.it/ortoredirect/0157/,BORSOLO,Staphylea pinnata L.,Fam. Staphyleaceae
www.gapers.it/ortoredirect/0158/,SINFORICARPO,"Symphoricarpos albus (L.) S.F.Blake, Rhodora ",Fam. Caprifloliaceae
www.gapers.it/ortoredirect/0159/,LILLA' COMUNE,Syringa vulgaris L. ,Fam. Oleaceae
www.gapers.it/ortoredirect/0160/,TAMERICE,Tamarix gallica L.,Fam. Tamaricaceae
www.gapers.it/ortoredirect/0161/,CIPRESSO DI PALUDE,Taxodium distichum (L.) Rich. Ann. Mus. Hist. Nat. ,Fam. Cupressaceae
www.gapers.it/ortoredirect/0162/,TASSO,Taxus baccata L.,Fam. Taxaceae
www.gapers.it/ortoredirect/0163/,TIGLIO SELVATICO,Tilia cordata Mill.,Fam. Malvaceae
www.gapers.it/ortoredirect/0164/,TAMARO,Dioscorea communis (L.) Caddick & Wilkin,Fam. Discoriaceae
www.gapers.it/ortoredirect/0165/,GINESTRONE,Ulex europaeus L.,Fam. Fabaceae
www.gapers.it/ortoredirect/0166/,OLMO CILIATO,"Ulmus laevis Pall., Fl. Ross.",Fam. Ulmaceae
www.gapers.it/ortoredirect/0167/,OLMO CAMPESTRE,"Ulmus minor Mill., Gard.  ",Fam. Ulmaceae
www.gapers.it/ortoredirect/0168/,LANTANA,Viburnum lantana L.,Fam. Adoxaceae
www.gapers.it/ortoredirect/0169/,PALLON DI MAGGIO,Viburnum opulus L.,Fam. Adoxaceae
www.gapers.it/ortoredirect/0170/,VISCHIO BIANCO,Viscum album L.,Fam. Santalaceae
www.gapers.it/ortoredirect/0171/,AGNOCASTO,Vitex agnus-castus L.,Fam. Lamiaceae
www.gapers.it/ortoredirect/0172/,VITE,"Vitis vinifera L., ",Fam. Vitaceae
www.gapers.it/ortoredirect/0173/,UVAFRAGOLA,Vitis labrusca L.,Fam. Vitaceae
www.gapers.it/ortoredirect/0174/,GIUGGIOLO,Zizyphus sativa  Mill,Fam. Rhamnaceae
